Кандзи,Значение,On,Kun,Номер,Level
租,tariff,,,1965,1
奨,exhort,,,1966,1
曖,not clear,,,1967,0
岬,headland,,,1968,1
舷,gunwale,,,1969,0
肘,elbow,,,1970,0
勃,rise,,,1971,0
累,accumulate,,,1972,1
臼,mortar,,,1973,0
栽,plantation,,,1974,1
缶,Жестяной бидон; контейнер,カン,ー,1975,2
梗,close up,,,1976,0
債,bond,,,1977,1
虜,captive,,,1978,1
軌,rut,,,1979,1
膜,membrane,,,1980,1
窃,stealth,,,1981,1
賦,levy,,,1982,1
毀,destroy,,,1983,0
匿,hide,,,1984,1
搾,squeeze,,,1985,1
穫,harvest,,,1986,1
潟,lagoon,,,1987,1
槽,vat,,,1988,1
喩,metaphor,,,1989,0
枠,frame,,,1990,1
褐,brown,,,1991,1
勲,meritorious deed,,,1992,1
憩,recess,,,1993,1
厘,thousandth,,,1994,1
抹,rub,,,1995,1
祥,auspicious,,,1996,1
剰,surplus,,,1997,1
鋼,steel,,,1998,1
腎,kidney,,,1999,0
淑,graceful,,,2000,1
舗,pavement,,,2001,1
薦,recommend,,,2002,1
睦,harmonious,,,2003,1
詐,lie,,,2004,1
堆,piled high,,,2005,0
阻,thwart,,,2006,1
串,skewer,,,2007,0
蛍,lightning-bug,,,2008,1
培,cultivate,,,2009,1
閥,clique,,,2010,1
逝,departed,,,2011,1
挫,sprain,,,2012,0
覇,hegemony,,,2013,1
弔,condolences,,,2014,1
菌,germ,,,2015,1
蚕,silkworm,,,2016,1
勾,capture,,,2017,0
凸,convex,,,2018,1
搬,conveyor,,,2019,1
墳,tomb,,,2020,1
鋳,casting,,,2021,1
桁,beam,,,2022,0
賓,V.I.P.,,,2023,1
滋,nourishing,,,2024,1
唆,tempt,,,2025,1
殉,martyrdom,,,2026,1
旺,flourishing,,,2027,1
茨,thorn,,,2028,0
嗣,heir,,,2029,1
訟,sue,,,2030,1
詔,imperial edict,,,2031,1
憬,long for,,,2032,0
妊,pregnancy,,,2033,1
帥,commander,,,2034,1
酢,vinegar,,,2035,1
衷,inmost,,,2036,1
娠,with child,,,2037,1
綻,rip,,,2038,0
斤,кин (~600 грамм),キン,―,2039,1
墾,ground-breaking,,,2040,1
票,бюллетень,,,2041,1
舶,liner,,,2042,1
尿,urine,,,2043,1
賄,bribe,,,2044,1
醸,brew,,,2045,1
栓,plug,,,2046,1
緻,fine (not coarse),,,2047,0
硫,sulphur,,,2048,1
緯,horizontal,,,2049,1
撤,remove,,,2050,1
汎,pan-,,,2051,0
拷,torture,,,2052,1
曽,пра; раньше,ソー,―,2053,0
屯,военный лагерь; тонна (сокращение от 噸),トン,―,2054,1
紡,spinning,,,2055,1
肪,obese,,,2056,1
疫,epidemic,,,2057,1
窒,plug up,,,2058,1
丙,third class,,,2059,1
礁,reef,,,2060,1
畝,furrow,,,2061,1
遡,go upstream,,,2062,0
辣,bitter,,,2063,0
逮,apprehend,,,2064,1
惧,dread,,,2065,0
麺,noodles,,,2066,0
媛,princess,,,2067,1
拐,kidnap,,,2068,1
弐,two (falsification prevention),,,2069,1
嫡,legitimate wife,,,2070,1
窯,kiln,,,2071,1
虞,uneasiness,,,2072,1
該,above-stated,,,2073,1
循,sequential,,,2074,1
踪,remains,,,2075,0
倹,frugal,,,2076,1
矯,rectify,,,2077,1
壱,one (Falsification prevention),,,2078,1
俸,salary,,,2079,1
塁,bases,,,2080,1
謁,audience,,,2081,1
枢,hinge,,,2082,1
姻,matrimony,,,2083,1
芯,core,,,2084,0
耗,decrease,,,2085,1
糾,twist,,,2086,1
酎,sake,,,2087,0
拉,crush,,,2088,0
璧,sphere,,,2089,0
悼,lament,,,2090,1
阜,mound,,,2091,0
丼,bowl of food,,,2092,0
痢,diarrhea,,,2093,1
壌,lot,,,2094,1
箋,paper,,,2095,0
繭,cocoon,,,2096,1
沃,fertility,,,2097,0
栃,horse chestnut,,,2098,0
捗,make progress,,,2099,0
埼,cape (geography),,,2100,0
摯,seriousness,,,2101,0
彙,same kind,,,2102,0
泌,ooze,,,2103,1
彰,patent,,,2104,1
氾,spread out,,,2105,0
痘,pox,,,2106,1
恣,selfish,,,2107,0
陪,obeisance,,,2108,1
頒,partition,,,2109,1
畿,capital,,,2110,0
嘱,entrust,,,2111,1
朕,majestic plural,,,2112,1
填,—,,,2113,0
轄,control,,,2114,1
賂,bribe,,,2115,0
逓,relay,,,2116,1
酵,fermentation,,,2117,1
謄,mimeograph,,,2118,1
賠,compensation,,,2119,1
准,quasi-,,,2120,1
遵,abide by,,,2121,1
搭,board,,,2122,1
款,goodwill,,,2123,1
腺,gland,,,2124,0
諮,consult with,,,2125,1
塑,model,,,2126,1
璽,emperor's seal,,,2127,0
楷,square character style,,,2128,0
迭,transfer,,,2129,1
哺,suckle,,,2130,0
訃,obituary,,,2131,0
酪,dairy products,,,2132,1
瘍,boil (medical),,,2133,0
祉,welfare,,,2134,1
劾,censure,,,2135,1
錮,tie up,,,2136,0
丑,,,,,1
丞,,,,,1
乃,,,,,1
之,,,,,1
也,,,,,1
亘,,,,,1
亥,,,,,1
亦,,,,,1
亨,,,,,1
亮,,,,,1
伊,,,,,1
伍,,,,,1
伶,,,,,1
伽,,,,,1
佑,,,,,1
侃,,,,,1
侑,,,,,1
倖,,,,,1
倭,,,,,1
偲,,,,,1
允,,,,,1
冴,,,,,1
凌,,,,,1
凜,,,,,1
凪,,,,,1
凱,,,,,1
勁,,,,,1
勺,,,,,1
匁,,,,,1
匡,,,,,1
卯,,,,,1
叡,,,,,1
只,,,,,1
叶,,,,,1
哉,,,,,1
啄,,,,,1
喬,,,,,1
嘉,,,,,1
圭,,,,,1
奎,,,,,1
嬉,,,,,1
孟,,,,,1
宏,,,,,1
宥,,,,,1
寅,,,,,1
尭,,,,,1
峻,,,,,1
崚,,,,,1
嵩,,,,,1
嵯,,,,,1
嶺,,,,,1
巌,,,,,1
巳,,,,,1
巴,,,,,1
巽,,,,,1
庄,,,,,1
弘,,,,,1
彗,,,,,1
彦,,,,,1
彪,,,,,1
彬,,,,,1
怜,,,,,1
恕,,,,,1
悌,,,,,1
惇,,,,,1
惟,,,,,1
惣,,,,,1
慧,,,,,1
捷,,,,,1
捺,,,,,1
敦,,,,,1
斐,,,,,1
於,,,,,1
旭,,,,,1
昂,,,,,1
昌,,,,,1
昴,,,,,1
晃,,,,,1
晋,,,,,1
晏,,,,,1
晟,,,,,1
晨,,,,,1
智,,,,,1
暉,,,,,1
暢,,,,,1
曙,,,,,1
朋,,,,,1
朔,,,,,1
李,,,,,1
杏,,,,,1
杜,,,,,1
柊,,,,,1
柚,,,,,1
柾,,,,,1
栗,,,,,1
栞,,,,,1
桂,,,,,1
桐,,,,,1
梓,,,,,1
梢,,,,,1
梧,,,,,1
椋,,,,,1
椰,,,,,1
椿,,,,,1
楊,,,,,1
楓,,,,,1
楠,,,,,1
榛,,,,,1
槙,,,,,1
槻,,,,,1
樺,,,,,1
橘,,,,,1
檀,,,,,1
欣,,,,,1
欽,,,,,1
毅,,,,,1
毬,,,,,1
汐,,,,,1
洲,,,,,1
洵,,,,,1
洸,,,,,1
浩,,,,,1
淳,,,,,1
渚,,,,,1
渥,,,,,1
滉,,,,,1
漱,,,,,1
澪,,,,,1
熙,,,,,1
燎,,,,,1
燦,,,,,1
燿,,,,,1
爾,,,,,1
猪,,,,,1
玖,,,,,1
玲,,,,,1
琉,,,,,1
琢,,,,,1
琳,,,,,1
瑚,,,,,1
瑛,,,,,1
瑞,,,,,1
瑳,,,,,1
瑶,,,,,1
甫,,,,,1
皐,,,,,1
皓,,,,,1
眸,,,,,1
碧,,,,,1
碩,,,,,1
磯,,,,,1
祐,,,,,1
禄,,,,,1
禎,,,,,1
秦,,,,,1
稀,,,,,1
稔,,,,,1
稜,,,,,1
穣,,,,,1
竣,,,,,1
笙,,,,,1
笹,,,,,1
紗,,,,,1
紘,,,,,1
紬,,,,,1
絃,,,,,1
絢,,,,,1
綜,,,,,1
綸,,,,,1
綺,,,,,1
綾,,,,,1
緋,,,,,1
翔,,,,,1
翠,,,,,1
耀,,,,,1
耶,,,,,1
聡,,,,,1
肇,,,,,1
胡,,,,,1
胤,,,,,1
脩,,,,,1
脹,,,,,1
舜,,,,,1
芙,,,,,1
芹,,,,,1
苑,,,,,1
茄,,,,,1
茅,,,,,1
茉,,,,,1
茜,,,,,1
莉,,,,,1
莞,,,,,1
菖,,,,,1
菫,,,,,1
萌,,,,,1
萩,,,,,1
葵,,,,,1
蒔,,,,,1
蒼,,,,,1
蓉,,,,,1
蓮,,,,,1
蔦,,,,,1
蕉,,,,,1
蕗,,,,,1
蘭,,,,,1
蝶,,,,,1
衿,,,,,1
袈,,,,,1
裟,,,,,1
詢,,,,,1
誼,,,,,1
諄,,,,,1
諒,,,,,1
赳,,,,,1
輔,,,,,1
辰,,,,,1
迪,,,,,1
遥,,,,,1
遼,,,,,1
邑,,,,,1
郁,,,,,1
酉,,,,,1
銑,,,,,1
錘,,,,,1
阿,,,,,1
隼,,,,,1
雛,,,,,1
霞,,,,,1
靖,,,,,1
鞠,,,,,1
頌,,,,,1
颯,,,,,1
馨,,,,,1
駿,,,,,1
魁,,,,,1
鮎,,,,,1
鯉,,,,,1
鯛,,,,,1
鳩,,,,,1
鳳,,,,,1
鴻,,,,,1
鵬,,,,,1
鷹,,,,,1
麟,,,,,1
麿,,,,,1
黎,,,,,1
黛,,,,,1
